7zip 26.02-1
libvpl 2.17.0-1
libvpx 1.16.0-3
libwacom 2.19.1-1
libwbclient 2:4.24.6-1
libwebp 1.6.0-2
libwireplumber 0.5.15-1
libwnck3 43.3-1
libx11 1.8.13-1
libxau 1.0.12-1
libxaw 1.0.16-2
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcrypt-compat 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-2
libxdp 1.6.3-2
libxext 1.3.7-1
libxfixes 6.0.2-1
libxfont2 2.0.9-1
libxft 2.3.9-1
libxi 1.8.3-1
libxinerama 1.1.6-1
libxkbcommon 1.13.2-1
libxkbcommon-x11 1.13.2-1
libxkbfile 1.2.0-1
libxklavier 5.4-7
libxml2 2.15.3-1
libxmlb 0.3.29-1
libxmu 1.3.1-1
libxpm 3.5.19-1
libxpresent 1.0.2-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxres 1.2.3-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyaml 0.2.5-3
libyuv r2921+644251f25-1
libzip 1.11.4-1
licenses 20240728-1
lilv 0.28.0-1
linux 7.1.9.arch1-2
linux-api-headers 7.2-1
linux-firmware 20260810-2
linux-firmware-amdgpu 20260810-2
linux-firmware-atheros 20260810-2
linux-firmware-broadcom 20260810-2
linux-firmware-cirrus 20260810-2
linux-firmware-intel 20260810-2
linux-firmware-mediatek 20260810-2
linux-firmware-nvidia 20260810-2
linux-firmware-other 20260810-2
linux-firmware-radeon 20260810-2
linux-firmware-realtek 20260810-2
linux-firmware-whence 20260810-2
linux-headers 7.1.9.arch1-2
linux-zen 7.1.9.zen1-2
linux-zen-headers 7.1.9.zen1-2
litehtml 0.10-1
llvm-libs 22.1.8-2
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
localsearch 3.11.1-2
loupe 50.0-1
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.7-1
lua 5.5.1-1
lua54 5.4.9-1
luajit 2.1.1787165859+1ee778a-1
lv2 1.18.10-2
lxc 1:7.0.0-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-2
mailcap 2.1.54-3
make 4.4.1-3
marisa 0.3.1-1
md4c 0.5.3-1
mdadm 4.6-2
mesa 1:26.2.1-1
mjpegtools 2.2.1-4
mkinitcpio 41.1-1
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
mod_dnssd 0.6-10
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.7-1
mpv 1:0.41.0-5
msgraph 0.3.5-1
mtdev 1.1.7-1
mujs 1.3.9-1
mutter 50.4-1
nano 9.2-1
nautilus 50.2.2-1
ncurses 6.6-2
ndctl 85-1
nemo 6.6.4-1
neon 0.37.1-1
net-snmp 5.9.5.2-1
nettle 4.0-1
network-manager-applet 1.36.0-2
networkmanager 1.58.1-1
nftables 1:1.1.6-3
ninja 1.13.2-3
nm-connection-editor 1.36.0-2
node-gyp 13.0.2-1
nodejs 26.8.1-1
nodejs-nopt 10.0.1-1
noto-fonts 1:2026.08.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npm 12.0.2-1
npth 1.8-1
nspr 4.40-1
nss 3.127-1
ntsync-autoload 1-1
numactl 2.0.19-1
ocl-icd 2.3.5-1
onetbb 2023.1.0-1
oniguruma 6.9.10-1
openal 1.25.2-2
opencc 1.3.2-1
opencore-amr 0.1.6-2
openexr 3.4.15-1
openh264 2.6.0-2
openjdk-doc 26.0.2.1.u1-1
openjpeg2 2.5.4-1
openjph 0.31.0-1
openssh 10.5p1-1
openssl 3.6.4-1
opus 1.6.1-1
orc 0.4.42-1
orca 50.2-1
os-prober 1.84-1
osinfo-db 20260812-1
p11-kit 0.26.5-1
pacman 7.1.0.r9.g54d9411-2
pacman-contrib 1.13.1-1
pacman-mirrorlist 20260610-1
pahole 1:1.31-2
pam 1.7.2-2
pambase 20260616-1
pango 1:1.58.2-1
pangomm 2.46.5-1
pangomm-2.48 2.56.2-1
papers 50.2-1
parted 3.7-1
patch 2.8-1
pcaudiolib 1.3-1
pciutils 3.15.0-1
pcre 8.45-5
pcre2 10.47-1
pcsclite 2.5.1-1
peazip 11.2.0-2
perl 5.42.2-2
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.35-1
phodav 3.0-4
pinentry 1.3.3-1
